IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.142.229,2086,2086,false,SIN,Asia Pacific,Singapore,9,8.67
47.242.54.157,80,80,false,HKG,Asia Pacific,Hong Kong,52,8.67
47.251.74.226,80,80,false,LAX,North America,Los Angeles,182,8.67
8.219.87.34,2087,2087,true,SIN,Asia Pacific,Singapore,101,8.67
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,8.66
8.222.134.170,80,80,false,SIN,Asia Pacific,Singapore,41,8.66
8.219.179.34,2053,2053,true,SIN,Asia Pacific,Singapore,101,8.66
8.219.73.188,443,443,true,SIN,Asia Pacific,Singapore,142,8.66
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,99,8.66
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,60,8.66
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,184,8.65
47.236.150.13,2096,2096,true,SIN,Asia Pacific,Singapore,80,8.65
8.219.122.96,2086,2086,false,SIN,Asia Pacific,Singapore,36,8.65
8.222.212.172,2086,2086,false,SIN,Asia Pacific,Singapore,14,8.65
8.222.128.131,8443,8443,true,SIN,Asia Pacific,Singapore,125,8.65
8.219.145.245,443,443,true,SIN,Asia Pacific,Singapore,87,8.65
47.251.74.226,443,443,true,LAX,North America,Los Angeles,183,8.65
8.219.170.180,8443,8443,true,SIN,Asia Pacific,Singapore,48,8.64
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,121,8.64
8.219.103.57,80,80,false,SIN,Asia Pacific,Singapore,11,8.64
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,79,8.63
47.236.7.106,8080,8080,false,SIN,Asia Pacific,Singapore,44,8.62
8.219.5.10,2087,2087,true,SIN,Asia Pacific,Singapore,67,8.62
8.222.221.86,2053,2053,true,SIN,Asia Pacific,Singapore,75,8.61
8.219.103.57,2096,2096,true,SIN,Asia Pacific,Singapore,54,8.61
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,8.61
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,93,8.60
47.236.116.182,2053,2053,true,SIN,Asia Pacific,Singapore,59,8.59
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,94,8.59
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,56,8.59
8.222.193.208,8880,8880,false,SIN,Asia Pacific,Singapore,9,8.58
8.219.97.179,2053,2053,true,SIN,Asia Pacific,Singapore,121,8.58
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,8,8.58
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,53,8.58
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,56,8.58
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,177,8.57
8.210.156.6,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,8.57
47.236.11.84,2082,2082,false,SIN,Asia Pacific,Singapore,16,8.56
8.219.86.200,2087,2087,true,SIN,Asia Pacific,Singapore,96,8.56
8.219.13.143,2082,2082,false,SIN,Asia Pacific,Singapore,26,8.55
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,26,8.55
8.222.223.34,2086,2086,false,SIN,Asia Pacific,Singapore,33,8.55
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,8.55
47.243.70.197,443,443,true,HKG,Asia Pacific,Hong Kong,65,8.55
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,34,8.54
8.219.124.227,80,80,false,SIN,Asia Pacific,Singapore,9,8.54
8.219.196.24,2087,2087,true,SIN,Asia Pacific,Singapore,90,8.54
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,24,8.53
8.219.170.180,2052,2052,false,SIN,Asia Pacific,Singapore,6,8.53
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,76,8.52
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,8.52
8.218.211.17,2087,2087,true,HKG,Asia Pacific,Hong Kong,118,8.52
8.219.240.160,2096,2096,true,SIN,Asia Pacific,Singapore,89,8.52
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,53,8.52
8.222.255.15,2082,2082,false,SIN,Asia Pacific,Singapore,27,8.51
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,61,8.51
8.219.60.68,2096,2096,true,SIN,Asia Pacific,Singapore,58,8.51
